global index,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
14480,690150,93121,TWENTY NINE PALMS,US,CA,KNXP,34.3,-116.167,625.1,19900102,20201227
15092,700260,27502,W POST-WILL ROGERS MEMORIAL AIRPORT,US,AK,PABR,71.283,-156.782,9.5,19450101,20201227
15096,700300,27503,WAINWRIGHT AIRPORT,US,AK,PAWI,70.639,-159.995,9.1,19991102,20201226
15114,700637,27406,DEADHORSE AIRPORT,US,AK,PASC,70.192,-148.477,18.6,19730101,20201227
15115,700638,99999,FALSE PASS,US,AK,PAKF,54.85,-163.417,6.0,19730101,20201026
15117,700860,27401,BARTER ISLAND AIRPORT,US,AK,PABA,70.134,-143.577,0.6,19471001,20201227
15137,701190,99999,PORT CLARENCE CGS,US,AK,PAPC,65.254,-166.859,3.0,19730101,20201222
15147,701330,26616,RALPH WIEN MEMORIAL AIRPORT,US,AK,PAOT,66.867,-162.633,9.1,19730101,20201227
15149,701333,26643,DEERING AIRPORT,US,AK,PADE,66.069,-162.764,6.4,19990102,20201126
15168,701740,26533,BETTLES AIRPORT,US,AK,PABT,66.918,-151.519,193.2,19450101,20201227
15174,701748,99999,PROSPECT CREEK AIRPORT,US,AK,PAPR,66.817,-150.65,335.0,19730825,20201222
15176,701780,26529,RALPH M CALHOUN MEML ARPT,US,AK,PATA,65.175,-152.107,67.7,19430601,20201227
15182,701940,26413,FORT YUKON AIRPORT,US,AK,PFYU,66.567,-145.267,135.6,19730101,20201227
15191,702000,26617,NOME AIRPORT,US,AK,PAOM,64.511,-165.44,4.0,19400101,20201227
15200,702040,26703,GAMBELL AIRPORT,US,AK,PAGM,63.767,-171.733,8.5,19870603,20201227
15203,702070,26627,UNALAKLEET AIRPORT,US,AK,PAUN,63.883,-160.8,5.5,19430601,20201227
15219,702190,26615,BETHEL AIRPORT,US,AK,PABE,60.785,-161.829,31.1,19450101,20201227
15220,702195,99999,NAPAKIAK,US,AK,PANA,60.683,-161.983,5.2,19940830,20201105
15227,702310,26510,MCGRATH AIRPORT,US,AK,PAMC,62.957,-155.61,101.5,19730101,20201227
15233,702320,26516,ANIAK AIRPORT,US,AK,PANI,61.582,-159.543,25.9,19730101,20201227
15239,702460,26512,MINCHUMINA,US,AK,PAMH,63.886,-152.302,206.7,19730101,20201227
15247,702510,26528,TALKEETNA AIRPORT,US,AK,PATK,62.32,-150.095,106.7,19730101,20201227
15251,702590,26523,KENAI MUNICIPAL AIRPORT,US,AK,PAEN,60.58,-151.239,27.7,19730101,20201227
15254,702600,26435,NENANA MUNICIPAL AIRPORT,US,AK,PANN,64.55,-149.072,109.7,19430706,20201227
15261,702610,26411,FAIRBANKS INTERNATIONAL,US,AK,PAFA,64.804,-147.876,131.7,19460101,20201227
15284,702670,26415,ALLEN ARMY AIRFIELD,US,AK,PABI,63.994,-145.721,389.2,19451015,20201227
15301,702710,26425,GULKANA AIRPORT,US,AK,PAGK,62.159,-145.459,476.1,19450101,20201227
15313,702730,26451,TED STEVENS ANCHORAGE INTL,US,AK,PANC,61.169,-150.028,36.6,19730101,20201227
15314,702735,26409,MERRILL FIELD AIRPORT,US,AK,PAMR,61.217,-149.855,42.1,19450101,20201227
15317,702740,25331,PALMER MUNICIPAL AIRPORT,US,AK,PAAQ,61.596,-149.092,70.1,19990101,20201227
15338,702910,26412,NORTHWAY AIRPORT,US,AK,PAOR,62.962,-141.988,522.1,19450101,20201227
15345,702960,26410,M.K.(MUDHOLE) SMITH ARPT,US,AK,PACV,60.489,-145.451,9.5,19420611,20201227
15373,703080,25713,ST PAUL ISLAND AIRPORT,US,AK,PASN,57.155,-170.222,10.7,19431105,20201017
15374,703160,25624,COLD BAY AIRPORT,US,AK,PACD,55.221,-162.732,23.8,19420304,20201227
15379,703260,25503,KING SALMON AIRPORT,US,AK,PAKN,58.683,-156.656,20.4,19420110,20201227
15387,703335,99999,SOUTH NAKNEK ARPT,US,AK,PFWS,58.7,-157.0,49.4,19940818,20200924
15388,703400,25506,ILIAMNA AIRPORT,US,AK,PAIL,59.749,-154.909,43.6,19730101,20201227
15393,703410,25507,HOMER AIRPORT,US,AK,PAHO,59.642,-151.491,19.5,19730101,20201227
15394,703430,25402,MIDDLETON ISLAND METEOROLOGY RADAR SITE,US,AK,PAMD,59.433,-146.333,30.5,19450101,20201227
15398,703500,25501,KODIAK AIRPORT,US,AK,PADQ,57.751,-152.486,24.4,19450101,20201227
15406,703610,25339,YAKUTAT AIRPORT,US,AK,PAYA,59.512,-139.671,10.1,19410501,20201227
15408,703620,25335,SKAGWAY AIRPORT,US,AK,PAGY,59.456,-135.324,6.1,19431001,20201227
15412,703626,25323,HAINES,US,AK,PAHN,59.243,-135.509,4.6,19960613,20201227
15421,703670,25322,GUSTAVUS,US,AK,PAGS,58.411,-135.709,12.2,19760801,20201227
15424,703710,25333,SITKA ROCKY GUTIERREZ ARPT,US,AK,PASI,57.048,-135.365,4.3,19730101,20201227
15427,703810,25309,JUNEAU INTERNATIONAL,US,AK,PAJN,58.357,-134.564,4.9,19730101,20201227
15432,703830,25310,ANGOON SEAPLANE BASE,US,AK,PAGN,57.499,-134.586,8.5,19730101,20201227
15438,703860,25329,JAMES A JOHNSON AIRPORT,US,AK,PAPG,56.806,-132.937,32.6,19730101,20201227
15462,703950,25325,KETCHIKAN INTL AIRPORT,US,AK,PAKT,55.35,-131.65,24.4,19730101,20201227
15469,704540,25704,ADAK NAS,US,AK,PADK,51.883,-176.65,5.2,19421030,20201227
15812,711680,99999,SIOUX FALLS CLIMATE,US,SD,,43.733,-96.633,481.5,19941001,20201226
17815,722010,12836,KEY WEST INTERNATIONAL AIRPORT,US,FL,KEYW,24.557,-81.755,0.3,19730101,20201227
17823,722015,12850,KEY WEST NAS,US,FL,KNQX,24.583,-81.683,1.8,19730101,20201227
17830,722020,12839,MIAMI INTERNATIONAL AIRPORT,US,FL,KMIA,25.788,-80.317,8.8,19730101,20201227
17838,722026,12826,HOMESTEAD AFB AIRPORT,US,FL,KHST,25.483,-80.383,1.5,19430201,20201227
17844,722030,12844,PALM BEACH INTERNATIONAL AIRPORT,US,FL,KPBI,26.685,-80.099,5.8,19430206,20201227
17857,722038,12897,NAPLES MUNICIPAL AIRPORT,US,FL,KAPF,26.155,-81.775,2.7,19990101,20201227
